state,monthly_rate,population
NY,434,19299174
LA,420,4508066
FL,387,18757240
NJ,337,8771717
NV,332,2695178
MI,308,9860027
MD,288,5738306
TX,287,25046020
GA,285,9626779
CO,283,4996274
AZ,266,6370731
CT,253,3562739
RI,248,1049171
DE,246,891820
MO,244,5966427
KY,238,4304801
OK,233,3725119
IL,222,12803154
AR,219,2907346
MN,218,5297185
MS,217,2947798
MT,215,988210
PA,213,12644542
DC,211,593412
KS,210,2830513
WA,209,6674151
SC,207,4580680
NM,204,2036065
TN,199,6326762
UT,198,2756786
OR,196,3828145
WI,184,5676130
IA,182,3033961
AL,181,4759083
SD,179,807958
ND,178,662659
VA,175,7948284
WV,171,1843394
NE,171,1822464
AK,170,681960
MA,170,6525909
IN,163,6453265
CA,163,37166323
HI,161,1352739
NC,154,9471530
ID,148,1556690
OH,144,11495697
ME,136,1323941
NH,133,1316100
VT,126,618420
WY,109,560020
